Case,Activity,Resource,Timestamp,Complete Timestamp
173688,A_ACCEPTED,,2011-10-01 11:42:43,2011-10-01 11:42:43
173688,A_ACTIVATED,,2011-10-13 10:37:29,2011-10-13 10:37:29
173688,A_APPROVED,,2011-10-13 10:37:29,2011-10-13 10:37:29
173688,A_FINALIZED,,2011-10-01 11:45:09,2011-10-01 11:45:09
173688,A_PARTLYSUBMITTED,,2011-10-01 00:38:44,2011-10-01 00:38:44
173688,A_PREACCEPTED,,2011-10-01 00:39:37,2011-10-01 00:39:37
173688,A_REGISTERED,,2011-10-13 10:37:29,2011-10-13 10:37:29
173688,A_SUBMITTED,,2011-10-01 00:38:44,2011-10-01 00:38:44
173688,O_ACCEPTED,,2011-10-13 10:37:29,2011-10-13 10:37:29
173688,O_CREATED,,2011-10-01 11:45:11,2011-10-01 11:45:11
173688,O_SELECTED,,2011-10-01 11:45:09,2011-10-01 11:45:09
173688,O_SENT,,2011-10-01 11:45:11,2011-10-01 11:45:11
173688,O_SENT_BACK,,2011-10-10 11:33:03,2011-10-10 11:33:03
173688,W_Completeren aanvraag,,2011-10-01 11:36:46,2011-10-01 11:45:13
173688,W_Nabellen offertes,,2011-10-01 12:15:41,2011-10-01 12:17:08
173688,W_Nabellen offertes,10913,2011-10-08 16:26:57,2011-10-08 16:32:00
173688,W_Nabellen offertes,11049,2011-10-10 11:32:22,2011-10-10 11:33:05
173688,W_Valideren aanvraag,10629,2011-10-13 10:05:26,2011-10-13 10:37:37
173691,A_ACCEPTED,,2011-10-01 14:33:54,2011-10-01 14:33:54
173691,A_ACTIVATED,,2011-10-10 14:17:26,2011-10-10 14:17:26
173691,A_APPROVED,,2011-10-10 14:17:26,2011-10-10 14:17:26
173691,A_FINALIZED,,2011-10-01 14:35:46,2011-10-01 14:35:46
173691,A_PARTLYSUBMITTED,,2011-10-01 08:09:02,2011-10-01 08:09:02
173691,A_PREACCEPTED,,2011-10-01 08:09:56,2011-10-01 08:09:56
173691,A_REGISTERED,,2011-10-10 14:17:26,2011-10-10 14:17:26
173691,A_SUBMITTED,,2011-10-01 08:08:58,2011-10-01 08:08:58
173691,O_ACCEPTED,,2011-10-10 14:17:26,2011-10-10 14:17:26
173691,O_CANCELLED,,2011-10-03 16:56:17,2011-10-03 16:56:17
173691,O_CREATED,,2011-10-01 14:35:47,2011-10-01 14:35:47
173691,O_CREATED,,2011-10-03 16:56:19,2011-10-03 16:56:19
173691,O_SELECTED,,2011-10-01 14:35:46,2011-10-01 14:35:46
173691,O_SELECTED,,2011-10-03 16:56:17,2011-10-03 16:56:17
173691,O_SENT,,2011-10-01 14:35:47,2011-10-01 14:35:47
